学会タイトル,発表タイトル,発表者,発表者の所属
人工知能学会2025,[3J6-GS-5-05] LLMを活用した目標達成支援のための段階的聴取型情報推薦手法,白松 俊,名古屋工業大学
人工知能学会2025,[4J1-GS-5-01] 自律エージェントのための大規模マルチモーダルモデルに基づく自動建築物構築フレームワーク,渡邊 聡磨,京都大学
人工知能学会2025,[4J1-GS-5-01] 自律エージェントのための大規模マルチモーダルモデルに基づく自動建築物構築フレームワーク,丁 世堯,京都大学
人工知能学会2025,[4J1-GS-5-01] 自律エージェントのための大規模マルチモーダルモデルに基づく自動建築物構築フレームワーク,伊藤 孝行,京都大学
人工知能学会2025,[4J1-GS-5-02] 偽情報を防ぐためのPrebunking手法に基づく集団免疫効果：LLMマルチエージェントシミュレーションによる検証,三好 和樹,京都大学大学院情報学研究科
人工知能学会2025,[4J1-GS-5-02] 偽情報を防ぐためのPrebunking手法に基づく集団免疫効果：LLMマルチエージェントシミュレーションによる検証,伊藤 孝行,京都大学大学院情報学研究科
人工知能学会2025,[4J1-GS-5-03] 自律的なPenetration TestのためのLLM Agentの構築と評価,小林 真也,明治大学
人工知能学会2025,[4J1-GS-5-03] 自律的なPenetration TestのためのLLM Agentの構築と評価,渕 雅音,明治大学
人工知能学会2025,[4J1-GS-5-03] 自律的なPenetration TestのためのLLM Agentの構築と評価,ザナシル アマル,（株）ラック
人工知能学会2025,[4J1-GS-5-03] 自律的なPenetration TestのためのLLM Agentの構築と評価,米田 智紀,（株）ラック
人工知能学会2025,[4J1-GS-5-03] 自律的なPenetration TestのためのLLM Agentの構築と評価,高木 友博,明治大学
人工知能学会2025,[4J1-GS-5-04] 複数の大規模言語モデルによるオープンワールドマルチタスクエージェント,松本 浩唯,東京農工大学
人工知能学会2025,[4J1-GS-5-04] 複数の大規模言語モデルによるオープンワールドマルチタスクエージェント,藤田 桂英,東京農工大学
人工知能学会2025,[4J1-GS-5-05] 被食者-補食者関係における恐怖と摂食報酬の進化,金川 裕司,沖縄科学技術大学院大学
人工知能学会2025,[4J1-GS-5-05] 被食者-補食者関係における恐怖と摂食報酬の進化,銅谷 賢治,沖縄科学技術大学院大学
人工知能学会2025,[4J2-GS-5-01] 酒米：山田錦の倒伏シミュレーション,星川 裕志,関西学院大学大学院総合政策研究科
人工知能学会2025,[4J2-GS-5-01] 酒米：山田錦の倒伏シミュレーション,山田 孝子,関西学院大学総合政策学部メディア情報学科
人工知能学会2025,[4J2-GS-5-02] データ市場における再販性と信頼関係を考慮した エージェントベースシミュレーション,指原 淳,東京大学
人工知能学会2025,[4J2-GS-5-02] データ市場における再販性と信頼関係を考慮した エージェントベースシミュレーション,早矢仕 晃章,東京大学
人工知能学会2025,[4J2-GS-5-03] 媒介中心性に基づくPOIの設置方法の検討,白石 竜大,名古屋工業大学
人工知能学会2025,[4J2-GS-5-03] 媒介中心性に基づくPOIの設置方法の検討,大谷 龍生,名古屋工業大学
人工知能学会2025,[4J2-GS-5-03] 媒介中心性に基づくPOIの設置方法の検討,小山 聡,名古屋市立大学
人工知能学会2025,[4J2-GS-5-03] 媒介中心性に基づくPOIの設置方法の検討,櫻井 祐子,名古屋工業大学
人工知能学会2025,[4J2-GS-5-04] システム故障が分散動的避難誘導システムにおよぼす悪影響の抑制,鶴島 彰,セコム株式会社
人工知能学会2025,[4J2-GS-5-05] 雄性妊娠における交尾後選択戦略の進化モデル,小川 拓海,名古屋工業大学
人工知能学会2025,[4J2-GS-5-05] 雄性妊娠における交尾後選択戦略の進化モデル,武藤 敦子,名古屋工業大学
人工知能学会2025,[4J2-GS-5-05] 雄性妊娠における交尾後選択戦略の進化モデル,島 孔介,名古屋工業大学
人工知能学会2025,[4J2-GS-5-05] 雄性妊娠における交尾後選択戦略の進化モデル,森山 甲一,名古屋工業大学
人工知能学会2025,[4J2-GS-5-05] 雄性妊娠における交尾後選択戦略の進化モデル,松井 藤五郎,中部大学
人工知能学会2025,[4J2-GS-5-05] 雄性妊娠における交尾後選択戦略の進化モデル,犬塚 信博,名古屋工業大学
人工知能学会2025,[4J3-GS-5-01] 最後通牒ゲームにおけるLLMによる人間の意思決定の再現,村重 寿弥,京都大学
人工知能学会2025,[4J3-GS-5-01] 最後通牒ゲームにおけるLLMによる人間の意思決定の再現,伊藤 孝行,京都大学
人工知能学会2025,[4J3-GS-5-02] Pre-Marking DirectionによるDirected Controller Synthesisの探索効率化,大畑 允人,東京科学大学
人工知能学会2025,[4J3-GS-5-02] Pre-Marking DirectionによるDirected Controller Synthesisの探索効率化,山内 拓人,早稲田大学
人工知能学会2025,[4J3-GS-5-02] Pre-Marking DirectionによるDirected Controller Synthesisの探索効率化,平野 貴規,早稲田大学
人工知能学会2025,[4J3-GS-5-02] Pre-Marking DirectionによるDirected Controller Synthesisの探索効率化,鄭 顕志,東京科学大学
人工知能学会2025,[4J3-GS-5-03] マルチエージェントシミュレーションにおける行動心理モデルの利用,川口 恭平,慶應義塾大学大学院理工学研究科
人工知能学会2025,[4J3-GS-5-03] マルチエージェントシミュレーションにおける行動心理モデルの利用,笹田 和希,慶應義塾大学大学院理工学研究科
人工知能学会2025,[4J3-GS-5-03] マルチエージェントシミュレーションにおける行動心理モデルの利用,山崎 創一朗,慶應義塾大学理工学部
人工知能学会2025,[4J3-GS-5-03] マルチエージェントシミュレーションにおける行動心理モデルの利用,須賀 聖,関西大学ビジネスデータサイエンス学部
人工知能学会2025,[4J3-GS-5-03] マルチエージェントシミュレーションにおける行動心理モデルの利用,栗原 聡,慶應義塾大学理工学部
人工知能学会2025,[4J3-GS-5-04] 不完全情報下における直接互恵性に関する研究：行動の取り違えと見間違え,谷川 颯希,電気通信大学
人工知能学会2025,[4J3-GS-5-04] 不完全情報下における直接互恵性に関する研究：行動の取り違えと見間違え,岩﨑 敦,電気通信大学
人工知能学会2025,[4J3-GS-5-05] エージェントタスクにおけるProcess Reward Modelの構築と探索手法への適用の有効性検証,今井 裕雅,東京大学
人工知能学会2025,[4J3-GS-5-05] エージェントタスクにおけるProcess Reward Modelの構築と探索手法への適用の有効性検証,坂本 航太郎,東京大学
人工知能学会2025,[4J3-GS-5-05] エージェントタスクにおけるProcess Reward Modelの構築と探索手法への適用の有効性検証,小島 武,東京大学
人工知能学会2025,[4J3-GS-5-05] エージェントタスクにおけるProcess Reward Modelの構築と探索手法への適用の有効性検証,岩澤 有祐,東京大学
人工知能学会2025,[4J3-GS-5-05] エージェントタスクにおけるProcess Reward Modelの構築と探索手法への適用の有効性検証,松尾 豊,東京大学
人工知能学会2025,[3G1-GS-6-01] テキスト分類タスクに対する Integrated Gradients へのアブレーションテストの適用,剱持 壮吾,東京理科大学
人工知能学会2025,[3G1-GS-6-01] テキスト分類タスクに対する Integrated Gradients へのアブレーションテストの適用,松崎 拓也,東京理科大学
人工知能学会2025,[3G1-GS-6-02] 大規模言語モデルのモデルマージにおける少量データに基づいたタスクベクトルの重み係数の学習,鄭 晟徹,東京大学
人工知能学会2025,[3G1-GS-6-02] 大規模言語モデルのモデルマージにおける少量データに基づいたタスクベクトルの重み係数の学習,鈴木 雅大,東京大学
人工知能学会2025,[3G1-GS-6-02] 大規模言語モデルのモデルマージにおける少量データに基づいたタスクベクトルの重み係数の学習,松尾 豊,東京大学
人工知能学会2025,[3G1-GS-6-03] 文長による内容語率の変化が引き起こす文ベクトルの品質低下,原 知正、栗田 宙人、横井 祥、今泉 允聡、乾 健太郎,東北大学、東北大学、国立国語研究所、東北大学、理化学研究所、東京大学、理化学研究所、MBZUAI、東北大学、理化学研究所
人工知能学会2025,[3G1-GS-6-04] 日本語での対話・作文性能に力点を置いた大規模言語モデルの開発,○西澤 克彦、畠山 歓、森 孝夫、染谷 実奈美、西嶋 泰志、西前 和隆、太田 晋、原田 憲旺、小橋 洋平、小島 武、岩澤 有祐、松尾 豊,パナソニックホールディングス株式会社、東京科学大学、株式会社デンソー、情報セキュリティ大学院大学、異業種データサイエンス研究会、東京工科大学、東京大学、東京大学、東京大学、東京大学、東京大学
人工知能学会2025,[3G1-GS-6-05] 選好データの優先度付けによる効率的なLLMのアライメント,高橋 克望,京都大学
人工知能学会2025,[3G1-GS-6-05] 選好データの優先度付けによる効率的なLLMのアライメント,新 恭兵,京都大学
人工知能学会2025,[3G1-GS-6-05] 選好データの優先度付けによる効率的なLLMのアライメント,包 含,京都大学
人工知能学会2025,[3G1-GS-6-05] 選好データの優先度付けによる効率的なLLMのアライメント,竹内 孝,京都大学
人工知能学会2025,[3G1-GS-6-05] 選好データの優先度付けによる効率的なLLMのアライメント,鹿島 久嗣,京都大学
人工知能学会2025,[3G1-GS-6-05] 選好データの優先度付けによる効率的なLLMのアライメント,陣内 佑,株式会社サイバーエージェント
人工知能学会2025,[3G1-GS-6-05] 選好データの優先度付けによる効率的なLLMのアライメント,森村 哲郎,株式会社サイバーエージェント
人工知能学会2025,[3G4-GS-6-01] 多言語文符号化器からの言語非依存な文埋め込みの抽出,福島 啓太,愛媛大学
人工知能学会2025,[3G4-GS-6-01] 多言語文符号化器からの言語非依存な文埋め込みの抽出,梶原 智之,愛媛大学
